Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,recovery_executed,Error_rotating_goal,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
18,7,3,1.46,0.04,1,2,8,4,3,1,0.56,0.04,0.21,0.8,0.02,0.16,0.2,0.34,0,80,84,2,0,0.8,12.25,82.77,86.99,0
13,5,1,0.81,0.05,1,20,4,6,2,1,1.34,0.03,0.73,1.14,0.05,0.13,0.3,0.13,-0.25,1,6,0,0,1,17.08,101.91,78.99,1
19,7,3,0.6,0.04,0,18,5,7,4,0,0.69,0.03,0.2,1.5,0.03,0.27,0.25,0.34,-0.27,82,86,2,0,0.8,13.32,73.92,88.83,0
10,6,1,1.98,0.05,1,2,7,6,4,1,0.56,0.02,0.75,1.41,0.03,0.28,0.14,0.15,-0.09,82,86,2,0,0.8,12.82,63.16,91.32,0
9,4,3,1.82,0.02,1,12,2,4,2,0,0.39,0.01,0.26,0.7,0.05,0.29,0.11,0.4,-0.13,9,12,5,0,0.6,38.45,479.63,8.95,0
1,6,1,0.99,0.02,0,4,1,4,1,0,1.65,0.03,0.63,0.56,0.03,0.21,0.11,0.31,-0.22,11,176,4,162,1,21.61,166.5,72.33,0
16,4,3,1.48,0.05,0,8,6,5,4,0,0.27,0.04,0.69,1.44,0.04,0.23,0.18,0.33,-0.12,81,85,2,0,0.8,22.45,155.14,70.88,0
8,5,4,0.76,0.05,0,5,4,6,4,1,1.4,0.01,0.27,0.61,0.03,0.28,0.26,0.3,-0.04,85,89,2,0,0.8,12.52,104.63,82.18,0
12,5,1,1.59,0.04,1,3,5,7,4,1,1.09,0.03,0.21,1.46,0.03,0.24,0.16,0.21,-0.2,7,11,2,0,0.8,15.22,110.53,82.84,0
13,5,3,1.97,0.03,0,5,1,7,4,1,0.29,0.02,0.65,1.4,0.02,0.12,0.23,0.37,-0.25,0,5,0,0,1,14.23,45.99,91.51,1
